"State, Teritory or Tribal Nation",Result,Party
ALABAMA,Trump,Republican
ALASKA,Trump,Republican
AMERICAN SAMOA,,
ARIZONA,Biden,Democrat
ARKANSAS,Trump,Republican
CALIFORNIA,Biden,Democrat
COLORADO,Biden,Democrat
CONNECTICUT,Biden,Democrat
DELEWARE,Biden,Democrat
DISTRICT OF COLUMBIA,Biden,Democrat
FLORIDA,Trump,Republican
GEORGIA,Biden,Democrat
GUAM,,
HAWAII,Biden,Democrat
IDAHO,Trump,Republican
ILLINOIS,Biden,Democrat
INDIANA,Trump,Republican
IOWA,Trump,Republican
KANSAS,Trump,Republican
KENTUCKY,Trump,Republican
LOUISIANA,Trump,Republican
MAINE,Biden,Democrat
MARYLAND,Biden,Democrat
MASSACHUSETTS,Biden,Democrat
MICHIGAN,Biden,Democrat
MINNESOTA,Biden,Democrat
MISSISSIPPI,Trump,Republican
MISSOURI,Trump,Republican
MONTANA,Trump,Republican
NEBRASKA,Trump,Republican
NEVADA,Biden,Democrat
NEW HAMPSHIRE,Biden,Democrat
NEW JERSEY,Biden,Democrat
NEW MEXICO,Biden,Democrat
NEW YORK,Biden,Democrat
NORTH CAROLINA,Trump,Republican
NORTH DAKOTA,Trump,Republican
NORTHERN MARIANA ISLANDS,,
OHIO,Trump,Republican
OKLAHOMA,Trump,Republican
OREGON,Biden,Democrat
PENNSYLVANIA,Biden,Democrat
PUERTO RICO,,
RHODE ISLAND,Biden,Democrat
SOUTH CAROLINA,Trump,Republican
SOUTH DAKOTA,Trump,Republican
TENNESSEE,Trump,Republican
TEXAS,Trump,Republican
TRIBAL COMMUNITIES,,
US VIRGIN ISLANDS,,
UTAH,Trump,Republican
VERMONT,Biden,Democrat
VIRGINIA,Biden,Democrat
WASHINGTON,Biden,Democrat
WEST VIRGINIA,Trump,Republican
WISCONSIN,Biden,Democrat
WYOMING,Trump,Republican